variant_id,entity_id,canonical_key,variant_name,variant_language,is_preferred,source_refs_sample
VAR_35A43B3ABA,ENT_E61E506CA0,aal,Aal,en,yes,SRC002 p.100 line 22; SRC002 p.100 line 23; SRC002 p.100 line 24
VAR_6FF6856849,ENT_592A598416,abbas,Abbas,en,no,SRC002 p.103 line 21; SRC002 p.104 line 26; SRC002 p.105 line 55; SRC002 p.106 line 14; SRC002 p.107 line 26; SRC002 p.28 line 17
VAR_0D2231C234,ENT_592A598416,abbas,Hazrat Abbas,en,yes,SRC002 p.103 line 21; SRC002 p.104 line 26; SRC002 p.105 line 55; SRC002 p.106 line 14; SRC002 p.107 line 26; SRC002 p.28 line 17
VAR_37BBF56A7A,ENT_592A598416,abbas,Syed Abbas,en,no,SRC002 p.103 line 21; SRC002 p.104 line 26; SRC002 p.105 line 55; SRC002 p.106 line 14; SRC002 p.107 line 26; SRC002 p.28 line 17
VAR_7C5DB47E3E,ENT_E840AC7A75,abbas raza,Syed Abbas Raza,en,yes,SRC001 p.27 line 26
VAR_04F8AEE23A,ENT_A85ECE2814,abbas raza naqvi al bukhari,Syed Abbas Raza Naqvi Al-Bukhari,en,yes,SRC001 p.27 line 28
VAR_5E32721C43,ENT_CB4CC28DF0,abd,Abd,en,yes,SRC002 p.102 line 53
VAR_E51B17668C,ENT_737EAC3F98,abd al dar,Abd al-Dar,en,yes,SRC002 p.102 line 47
VAR_3448928E26,ENT_FC6BD153F6,abd al uzza,Abd al-Uzza,en,yes,SRC002 p.102 line 51
VAR_BCD425E6DD,ENT_CFB9B5150C,abd manaf,Abd Manaf,en,yes,SRC002 p.102 line 49; SRC002 p.102 line 54; SRC002 p.102 line 56; SRC002 p.102 line 58; SRC002 p.102 line 60; SRC002 p.102 line 62; SRC002 p.103 line 3
VAR_826D5876C5,ENT_3629FF3480,abd manat,Abd Manat,en,yes,SRC002 p.101 line 37
VAR_F9219CD752,ENT_11E24022CF,abd shams,Abd Shams,en,yes,SRC002 p.102 line 58
VAR_131D721F7D,ENT_6537A8F292,abdul aziz naqvi,Syed Haji Syed Abdul Aziz Naqvi,en,yes,SRC002 p.110 line 43
VAR_8100C9BEF4,ENT_4381A868B7,abdul muttalib,Abdul Muttalib,en,yes,SRC002 p.103 line 35; SRC002 p.103 line 39; SRC002 p.104 line 5; SRC002 p.87 line 45; SRC002 p.87 lines 6-18
VAR_14E3228540,ENT_F683C96F4B,abdul muttalib shaybah,Abdul Muttalib (Shaybah),en,yes,SRC002 p.103 line 13; SRC002 p.103 line 15; SRC002 p.103 line 17; SRC002 p.103 line 19; SRC002 p.103 line 21; SRC002 p.103 line 23; SRC002 p.103 line 25; SRC002 p.103 line 27
VAR_51426B6302,ENT_7162497BD3,abdul qadir,Syed Abdul Qadir,en,yes,SRC002 p.109 line 28
VAR_CA9CC3F9D6,ENT_11B899CD31,abdul wahab,Hazrat Syed Abdul Wahab,en,yes,SRC001 p.8 line 12
VAR_028FC67F04,ENT_F2D3F09150,abdullah,Abdullah,en,no,SRC002 p.103 line 15; SRC002 p.103 line 35; SRC002 p.103 line 38; SRC002 p.103 line 39; SRC002 p.103 line 50; SRC002 p.104 line 28; SRC002 p.105 line 10; SRC002 p.106 line 24
VAR_2F5D673FBE,ENT_F2D3F09150,abdullah,Hazrat Abdullah,en,yes,SRC002 p.103 line 15; SRC002 p.103 line 35; SRC002 p.103 line 38; SRC002 p.103 line 39; SRC002 p.103 line 50; SRC002 p.104 line 28; SRC002 p.105 line 10; SRC002 p.106 line 24
VAR_9B52258C42,ENT_F2D3F09150,abdullah,Syed Abdullah,en,no,SRC002 p.103 line 15; SRC002 p.103 line 35; SRC002 p.103 line 38; SRC002 p.103 line 39; SRC002 p.103 line 50; SRC002 p.104 line 28; SRC002 p.105 line 10; SRC002 p.106 line 24
VAR_3B6423A260,ENT_CC4357ADF1,abdullah a s also called tayyib tahir,Abdullah A.S (also called Tayyib / Tahir),en,yes,SRC002 p.103 line 44
VAR_C86979EEF6,ENT_AD94B8D05E,abdullah al aftah,Abdullah (al-Aftah),en,yes,SRC002 p.105 line 47
VAR_681C8D8A02,ENT_0B4A627614,abdullah alaftah,Abdullah Alaftah,en,yes,SRC002 p.105 line 35
VAR_FCCE47BA01,ENT_4677A8CF6A,abdullah idrees baghdadi,Syed Abdullah Idrees Baghdadi,en,yes,SRC002 p.107 line 52; SRC002 p.107 line 55; SRC002 p.108 line 17; SRC002 p.108 line 32; SRC002 p.108 line 4; SRC002 p.108 line 6; SRC002 p.108 line 8; SRC002 p.108 line 9
VAR_0A0B946FEC,ENT_9262417317,abdullah idrees baghdadi bin abul hasan ali,Syed Abdullah Idrees Baghdadi bin Syed Abul Hasan Ali,en,yes,SRC002 p.107 line 52
VAR_B1990BE5B7,ENT_D4A9DE1318,abdullah idrees baghdadi naqvi,Syed Abdullah Idrees Baghdadi Naqvi,en,yes,SRC002 p.107 line 51
VAR_5B9180C207,ENT_CD1FA7F6CF,abdullah qatal bukhari dehelvi,Syed Abdullah Qatal Bukhari Dehelvi,en,yes,SRC002 p.110 line 12
VAR_65F706BC7D,ENT_B0981F48F9,abdullah r,Syed Abdullah R,en,yes,SRC001 p.22 line 13
VAR_474E490EA4,ENT_CF6BA6236C,abdur rahman,Abdur Rahman,en,yes,SRC002 p.105 line 18
VAR_4B5490D742,ENT_E5BEF98238,abham,Abham,en,yes,SRC002 p.100 line 14
VAR_954FC10904,ENT_DC7F908660,abham ayami title daws al fan ahmal al falaq,"Abham (Ayami) (title: Daws al-Fan, Ahmal al-Falaq)",en,yes,SRC002 p.100 line 13
VAR_3BF8BCD012,ENT_6A63E79C5F,abrar husayn,Syed Abrar Hussain,en,yes,SRC002 p.43 line 7; SRC002 p.93 line 23
VAR_06C8A4FA4E,ENT_4260CAB63B,abu abdullah muhammad naqvi,Syed Abu Abdullah Muhammad Naqvi,en,yes,SRC002 p.108 line 12
VAR_1E42BF6D30,ENT_FA0DC14B66,abu alkher sharafuddin naqvi bukhari,Syed Abu Alkher Sharfuddin Naqvi Bukhari,en,yes,SRC002 p.110 line 25
VAR_3AEF769300,ENT_EA24BE4F9E,abu bakr,Syed Abu Bakr,en,yes,SRC002 p.107 line 31
VAR_12F3B7B945,ENT_B24E1DF7DB,abu jafar ibrahim naqvi,Syed Abu Jafar Ibrahim Naqvi,en,yes,SRC002 p.108 line 13
VAR_D510E6BCDF,ENT_E5ECC948D7,abu jafar muhammad nazuk alashqar naqvi,Syed Abu Jafar Muhammad Nazuk Alashqar Naqvi,en,yes,SRC002 p.108 line 6
VAR_5DAEF42B45,ENT_E460C084F6,abu lahab,Abu Lahab,en,yes,SRC002 p.103 line 27
VAR_06E8FF5783,ENT_86A65ED6A0,abu muhammad hasan naqvi,Syed Abu Muhammad Hasan Naqvi,en,yes,SRC002 p.108 line 12; SRC002 p.108 line 4; SRC002 p.108 line 9
VAR_AA5F0CC8BB,ENT_791F701ED1,abu muhammad hasan naqvi bin abdullah idrees,Syed Abu Muhammad Hasan Naqvi bin Syed Abdullah Idrees,en,yes,SRC002 p.108 line 9
VAR_0126CF61FB,ENT_F2836D9FDE,abu nasr muhammad sam an shaqlani naqvi,Syed Abu Nasr Muhammad Sam'an Shaqlani Naqvi,en,yes,SRC002 p.108 line 14
