entity_id,preferred_english_title,suggested_urdu_title,canonical_key,language_group,occurrence_count,variant_count,relationship_edge_count,parent_names,child_names,main_path_order,source_ids,source_pages,source_refs_sample,known_or_suggested_wikidata_qid,notability_score_0_100,deletion_risk_score_0_100,page_class,simplewiki_recommendation,urduwiki_recommendation,wikidata_recommendation,duplicate_risk_flag,suspect_entity_reason,privacy_review_required,suggested_categories_en,suggested_categories_ur,draft_context_summary,all_variants_pipe
ENT_D0F5F6FFD4,Imam Hussain,Imam Hussain,imam husayn,en,27,2,10,Imam Ali | Prophet Muhammad ( )bin Hazrat Abdullah,Imam Zain ul Abideen | Ali Zain al-Abideen A.S | Ali al-Akbar A.S | Ali al-Asghar (Abdullah) A.S | Ja‘far A.S | Muhammad A.S,4,SRC001 | SRC002,SRC001 p.8; SRC001 p.9; SRC002 p.103; SRC002 p.104; SRC002 p.105; SRC002 p.107; SRC002 p.15; SRC002 p.6; SRC002 p.60; SRC002 p.63; SRC002 p.87,SRC001 p.8 line 21; SRC001 p.9 line 7; SRC002 p.103 line 54; SRC002 p.104 line 44; SRC002 p.104 line 46; SRC002 p.104 line 48; SRC002 p.104 line 50; SRC002 p.104 line 52; SRC002 p.104 line 54; SRC002 p.105 line 3; SRC002 p.105 line 31; SRC002 p.107 line 12; SRC002 p.15 line 32; SRC002 p.6 line 20; SRC002 p.6 line 21; SRC002 p.60 line 25; SRC002 p.63 line 7; SRC002 p.87 line 17; SRC002 p.87 line 42; SRC002 p.87 line 43; SRC002 p.87 lines 6-18,Q332341,100,0,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",duplicate_risk,,no,Shia Imams | Ahl al-Bayt,ائمہ اہل بیت | اہل بیت,"Recorded parent(s): Imam Ali, Prophet Muhammad ( )bin Hazrat Abdullah | Recorded child/children: Imam Zain ul Abideen, Ali Zain al-Abideen A.S, Ali al-Akbar A.S, Ali al-Asghar (Abdullah) A.S, Ja‘far A.S | Main lineage path order: 4 | Context: In the Name of the Lord of Imam Hussain (A.S.)",Imam Hussain | Imam Husayn
ENT_AAAF97554C,Imam Ali,Imam Ali,imam ali,en,23,1,13,Abu Talib,Imam Hussain | Hasan | Hussain | Muhsin | Muhammad ibn al-Hanafiyyah | Abbas | Abdullah | Ja‘far | Uthman | Umar,3,SRC001 | SRC002,SRC001 p.29; SRC002 p.104; SRC002 p.109; SRC002 p.114; SRC002 p.87; SRC002 p.92; SRC002 p.94,SRC001 p.29 line 12; SRC002 p.104 line 15; SRC002 p.104 line 18; SRC002 p.104 line 20; SRC002 p.104 line 22; SRC002 p.104 line 24; SRC002 p.104 line 26; SRC002 p.104 line 28; SRC002 p.104 line 30; SRC002 p.104 line 32; SRC002 p.104 line 34; SRC002 p.104 line 44; SRC002 p.109 line 26; SRC002 p.114 line 10; SRC002 p.87 line 17; SRC002 p.87 line 43; SRC002 p.87 line 44; SRC002 p.87 lines 6-18; SRC002 p.92 line 12; SRC002 p.94 line 14,Q283,100,0,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",duplicate_risk,,no,Shia Imams | Ahl al-Bayt,ائمہ اہل بیت | اہل بیت,"Recorded parent(s): Abu Talib | Recorded child/children: Imam Hussain, Hasan, Hussain, Muhsin, Muhammad ibn al-Hanafiyyah | Main lineage path order: 3 | Context: A foundational genealogical work documenting the descendants of Imam Ali (A.S),",Imam Ali
ENT_62587BEF0D,Imam Jafar Sadiq,Imam Jafar Sadiq,imam jafar sadiq,en,18,1,13,Imam Muhammad Baqir,Imam Musa Kazim | Imam Musa al-Kazim | Ismail | Abdullah (al-Aftah) | Muhammad Debaj | Ishaq | Ali Uraydi | Abbas | Yahya | Hamza,7,SRC002,SRC002 p.105; SRC002 p.106; SRC002 p.87,SRC002 p.105 line 40; SRC002 p.105 line 43; SRC002 p.105 line 45; SRC002 p.105 line 47; SRC002 p.105 line 49; SRC002 p.105 line 51; SRC002 p.105 line 53; SRC002 p.105 line 55; SRC002 p.105 line 57; SRC002 p.106 line 4; SRC002 p.106 line 7; SRC002 p.87 line 16; SRC002 p.87 line 39; SRC002 p.87 line 40; SRC002 p.87 lines 6-18,Q330939,100,0,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",,,no,Shia Imams | Ahl al-Bayt,ائمہ اہل بیت | اہل بیت,"Recorded parent(s): Imam Muhammad Baqir | Recorded child/children: Imam Musa Kazim, Imam Musa al-Kazim, Ismail, Abdullah (al-Aftah), Muhammad Debaj | Main lineage path order: 7 | Context: (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul",Imam Jafar Sadiq
ENT_5FACBC2357,Hazrat Abu Talib,Hazrat Abu Talib,abu talib,en,14,2,8,Abdul Muttalib | Abdul Muttalib (Shaybah),Imam Ali | Talib | Aqil | Ja‘far,2,SRC001 | SRC002,SRC001 p.26; SRC002 p.103; SRC002 p.104; SRC002 p.43; SRC002 p.87,SRC001 p.26 line 32; SRC002 p.103 line 17; SRC002 p.104 line 10; SRC002 p.104 line 12; SRC002 p.104 line 14; SRC002 p.104 line 15; SRC002 p.104 line 5; SRC002 p.104 line 8; SRC002 p.43 line 19; SRC002 p.43 line 23; SRC002 p.87 line 44; SRC002 p.87 line 45; SRC002 p.87 lines 6-18,Q35744,100,0,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",,,no,Genealogy | Islamic history,علم الانساب | اسلامی تاریخ,"Recorded parent(s): Abdul Muttalib, Abdul Muttalib (Shaybah) | Recorded child/children: Imam Ali, Talib, Aqil, Ja‘far | Main lineage path order: 2 | Context: A historical and genealogical study focusing on the descendants of Hazrat Abu Talib",Hazrat Abu Talib | Abu Talib
ENT_D67B0C59D6,Imam Ali Raza,Imam Ali Raza,imam ali raza,en,14,1,8,Imam Musa Kazim,Imam Muhammad Taqi | Imam Muhammad al-Taqi al-Jawad | Musa | Hasan | Ibrahim | Imam Muhammad Taqi al-Jawad,9,SRC002,SRC002 p.106; SRC002 p.87,SRC002 p.106 line 31; SRC002 p.106 line 34; SRC002 p.106 line 36; SRC002 p.106 line 38; SRC002 p.106 line 40; SRC002 p.106 line 41; SRC002 p.106 line 50; SRC002 p.87 line 15; SRC002 p.87 line 37; SRC002 p.87 line 38; SRC002 p.87 lines 6-18,Q294928,100,0,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",,,no,Shia Imams | Ahl al-Bayt,ائمہ اہل بیت | اہل بیت,"Recorded parent(s): Imam Musa Kazim | Recorded child/children: Imam Muhammad Taqi, Imam Muhammad al-Taqi al-Jawad, Musa, Hasan, Ibrahim | Main lineage path order: 9 | Context: Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim",Imam Ali Raza
ENT_4381A868B7,Abdul Muttalib,Abdul Muttalib,abdul muttalib,en,5,1,4,,Abu Talib | Hazrat Abdullah | Prophet Muhammad ( )bin Hazrat Abdullah,1,SRC002,SRC002 p.103; SRC002 p.104; SRC002 p.87,SRC002 p.103 line 35; SRC002 p.103 line 39; SRC002 p.104 line 5; SRC002 p.87 line 45; SRC002 p.87 lines 6-18,Q35665,100,0,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",,,no,Genealogy | Islamic history,علم الانساب | اسلامی تاریخ,"Recorded child/children: Abu Talib, Hazrat Abdullah, Prophet Muhammad ( )bin Hazrat Abdullah | Main lineage path order: 1 | Context: Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed",Abdul Muttalib
ENT_50243DF89C,Imam Musa Kazim,Imam Musa Kazim,imam musa kazim,en,19,1,13,Imam Jafar Sadiq,Imam Ali Raza | Imam Ali al-Ridha | Ibrahim | Abbas | Qasim | Ismail | Ja‘far | Harun | Abdullah | Ishaq,8,SRC002,SRC002 p.106; SRC002 p.87,SRC002 p.106 line 10; SRC002 p.106 line 12; SRC002 p.106 line 14; SRC002 p.106 line 16; SRC002 p.106 line 18; SRC002 p.106 line 20; SRC002 p.106 line 22; SRC002 p.106 line 24; SRC002 p.106 line 26; SRC002 p.106 line 31; SRC002 p.106 line 42; SRC002 p.106 line 7; SRC002 p.87 line 15; SRC002 p.87 line 38; SRC002 p.87 line 39; SRC002 p.87 lines 6-18,Q208657,99,1,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",duplicate_risk,,no,Shia Imams | Ahl al-Bayt,ائمہ اہل بیت | اہل بیت,"Recorded parent(s): Imam Jafar Sadiq | Recorded child/children: Imam Ali Raza, Imam Ali al-Ridha, Ibrahim, Abbas, Qasim | Main lineage path order: 8 | Context: Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim",Imam Musa Kazim
ENT_6737897D35,Imam Muhammad Baqir,Imam Muhammad Baqir,imam muhammad baqir,en,13,1,8,Imam Zain ul Abideen,Imam Jafar Sadiq | Imam Ja‘far al-Sadiq | Abdullah Alaftah | Ibrahim | Ubaydullah,6,SRC002,SRC002 p.105; SRC002 p.87,SRC002 p.105 line 30; SRC002 p.105 line 33; SRC002 p.105 line 35; SRC002 p.105 line 37; SRC002 p.105 line 39; SRC002 p.105 line 40; SRC002 p.87 line 16; SRC002 p.87 line 40; SRC002 p.87 line 41; SRC002 p.87 lines 6-18,Q319405,97,3,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",duplicate_risk,,no,Shia Imams | Ahl al-Bayt,ائمہ اہل بیت | اہل بیت,"Recorded parent(s): Imam Zain ul Abideen | Recorded child/children: Imam Jafar Sadiq, Imam Ja‘far al-Sadiq, Abdullah Alaftah, Ibrahim, Ubaydullah | Main lineage path order: 6 | Context: (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul",Imam Muhammad Baqir
ENT_9F603D7A70,Imam Muhammad Taqi,Imam Muhammad Taqi,imam muhammad taqi,en,5,1,2,Imam Ali Raza,Imam Ali Naqi,10,SRC002,SRC002 p.87,SRC002 p.87 line 15; SRC002 p.87 line 36; SRC002 p.87 line 37; SRC002 p.87 lines 6-18,Q310490,90,10,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",duplicate_risk,,no,Shia Imams | Ahl al-Bayt,ائمہ اہل بیت | اہل بیت,Recorded parent(s): Imam Ali Raza | Recorded child/children: Imam Ali Naqi | Main lineage path order: 10 | Context: Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim,Imam Muhammad Taqi
ENT_3492169A0C,Prophet Muhammad,Prophet Muhammad,prophet muhammad,en,15,2,1,Hazrat Abdullah,,,SRC001 | SRC002,SRC001 p.10; SRC001 p.11; SRC001 p.13; SRC001 p.14; SRC001 p.28; SRC001 p.8; SRC002 p.103,SRC001 p.10 line 8; SRC001 p.11 line 30; SRC001 p.13 line 24; SRC001 p.14 line 16; SRC001 p.28 line 23; SRC001 p.28 line 9; SRC001 p.8 line 27; SRC002 p.103 line 38,Q9458,87,13,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",duplicate_risk,,no,Genealogy | Islamic history,علم الانساب | اسلامی تاریخ,Recorded parent(s): Hazrat Abdullah | Context: of the Holy Prophet Muhammad (Peace Be Upon Him and His Family) throughout history.,Prophet Muhammad | Prophet Muhammad ( )
